time,Irr,v_wind,T_amb,T_water,P_elec_wind,P_pv,P_req,Q_provided,T_in,T_out,SOC,P_CCreq,P_bat,P_export,P_CC,Q_heat
172800.0,0.0,4.71830969358808,264.049941437976,265.869953150381,175302.72273295306,0.0,382897.18800759525,477480.4459134685,265.869953150381,364.06487851114355,0.98,350000.0,-174980.75264687816,350000.0,367823.7807450626,47291.628952936626
173700.0,0.0,4.60901095005569,263.020870066402,265.046696053122,163713.8015933002,0.0,386455.2564364625,481177.4389774982,265.046696053122,364.06570820915573,0.9487534370273432,350000.0,-219183.38641429506,350000.0,368364.04321513895,47361.09127051787
174600.0,0.0,4.81513486924795,265.35634856972,266.915078855776,185865.94714164172,0.0,378380.21659132093,472787.1095344088,266.915078855776,364.0638252086902,0.9096135465962191,350000.0,-200589.3092948208,350000.0,367137.917000897,47203.44647154391
175500.0,0.0,4.88676108262058,261.847387273074,264.107909818459,195558.61259235247,0.0,390512.6349566489,485393.2376747839,264.107909818459,364.06665434017043,0.8737940270792868,350000.0,-182821.60399896847,350000.0,368980.1216816362,47440.301359067525
176400.0,0.0,4.77564039680838,267.655607515636,268.754486012508,180558.9225048524,0.0,370430.40777219133,464526.90075758053,268.754486012508,364.0619714105673,0.841147312079471,350000.0,-209953.7124517965,350000.0,365930.80605429114,47048.24649269458
177300.0,0.0,4.85454245009155,268.63527338506,269.538218708048,189314.11784591488,0.0,367043.16146729264,461007.39956030954,269.538218708048,364.06118154618383,0.8036555777130788,350000.0,-181116.28992627645,350000.0,365416.48147284356,46982.119046508466
178200.0,0.0,4.97595468203064,266.441679488373,267.783343590699,204705.3974705938,0.0,374627.6278173956,468888.0010864653,267.783343590699,364.06295015091416,0.7713133830833866,350000.0,-162337.76399669884,350000.0,366568.11826860416,47130.186634534824
179100.0,0.0,4.98909730099479,263.957148185938,265.795718548751,207286.14670214834,0.0,383218.02556037024,477813.8105552686,265.795718548751,364.0649533265343,0.7423244966554047,350000.0,-167341.48111524727,350000.0,367872.49720238254,47297.89249744919
180000.0,0.0,4.9240448702784,265.342494854796,266.903995883837,198770.36692606515,0.0,378428.1165398127,472836.87973441527,266.903995883837,364.063836378372,0.7124420893133963,350000.0,-184447.6586343051,350000.0,367145.1902012321,47204.38159730128
180900.0,0.0,5.00888334546176,265.059703063608,266.677762450886,209332.4312965474,0.0,379405.8840416264,473852.82412803936,266.677762450886,364.064064381787,0.6795050074144132,350000.0,-169095.6852432653,350000.0,367293.6558916058,47223.47004320647
181800.0,0.0,5.12265757103416,265.911690621819,267.359352497455,223569.6247550653,0.0,376460.0922176605,470792.013983715,267.359352497455,364.06337745918574,0.6493093493352587,350000.0,-155836.2592865611,350000.0,366846.36242354504,47165.96088302723
182700.0,0.0,4.99834753504939,266.138019078904,267.540415263123,207598.33442525848,0.0,375677.5496652651,469978.9170896131,267.540415263123,364.06319497983964,0.62148144589123,350000.0,-168861.75779240203,350000.0,366727.5399835754,47150.68371217399
183600.0,0.0,5.11564985530426,264.152467718833,265.951974175066,223382.3663585916,0.0,382542.6979954145,477112.1148533721,265.951974175066,364.0647958484111,0.5913275605711582,350000.0,-152295.18330667348,350000.0,367769.9544476127,47284.708428978774
184500.0,0.0,5.15989611227174,266.361070644295,267.718856515436,228290.48009384578,0.0,374906.3371383687,469177.59260138887,267.718856515436,364.06301514251686,0.5641319921235379,350000.0,-154252.2179015687,350000.0,366610.43791174516,47135.627731510096
185400.0,0.0,5.21497772973381,265.176703768251,266.771363014601,236198.28485675884,0.0,379001.3479473889,473432.492938675,266.771363014601,364.06397004892074,0.5365869532125435,350000.0,-138708.05228160985,350000.0,367232.2305216682,47215.572495643064
186300.0,0.0,5.23357451809444,263.2406980871,265.22255846968,239595.84794480825,0.0,385695.18948500504,480387.69524324656,265.22255846968,364.06553097084475,0.511817658162256,350000.0,-139405.50000258064,350000.0,368248.63350427256,47346.252879120766
187200.0,0.0,5.15416606926075,268.004058579192,269.033246863354,226839.97547064567,0.0,369225.61988041137,463275.0719722205,269.033246863354,364.06169046877574,0.4869238188760809,350000.0,-158855.21401435937,350000.0,365747.8692459242,47024.72604590454
188100.0,0.0,5.36289385123731,267.351244682851,268.510995746281,255838.67276680877,0.0,371482.75828563736,465620.3402534524,268.510995746281,364.06221680582786,0.4585568163735167,350000.0,-113386.9471136026,350000.0,366090.59654150315,47068.79098390756
189000.0,0.0,5.27030940832986,264.552463482733,266.271970786186,244079.66579147382,0.0,381159.69158932177,475675.1090191529,266.271970786186,364.06447334824315,0.43830914724608766,350000.0,-127403.09249416355,350000.0,367559.9566715652,47257.708714915534
189900.0,0.0,5.3916080620756,264.806062987001,266.474850389601,261200.15145494544,0.0,380282.8579559702,474764.0394527251,266.474850389601,364.06426888137094,0.41555859501498704,350000.0,-119959.54013437632,350000.0,367426.8169318245,47240.590748377435
190800.0,0.0,5.27405088855039,262.260244248685,264.438195398948,245647.0540271424,0.0,389085.1602341586,483910.02726058615,264.438195398948,364.0663214705353,0.39413724856241983,350000.0,-134635.8039288278,350000.0,368763.37176944036,47412.433513213764
191700.0,0.0,5.182185135341,263.613215615412,265.52057249233,232445.5924256088,0.0,384407.1905246788,479049.40641659824,265.52057249233,364.06523062525036,0.37009514071798627,350000.0,-156639.56780854982,350000.0,368053.0618019087,47321.107945959695
192600.0,0.0,5.41026606970885,264.294623824295,266.065699059436,264172.3970583213,0.0,382051.1857788778,476601.41156259796,266.065699059436,364.0646812337776,0.3421237893236024,350000.0,-120234.79346635751,350000.0,367695.3224922451,47275.112891860095
